,county,fips,Neighbors,Neighbor Code
2801,"Summit County, CO",08117,"Clear Creek County, CO, Eagle County, CO, Grand County, CO, Lake County, CO, Park County, CO, Summit County, CO","08019, 08037, 08049, 08065, 08093, 08117"
2802,"Summit County, OH",39153,"Cuyahoga County, OH, Geauga County, OH, Medina County, OH, Portage County, OH, Stark County, OH, Summit County, OH, Wayne County, OH","39035, 39055, 39103, 39133, 39151, 39153, 39169"
2803,"Summit County, UT",49043,"Daggett County, UT, Duchesne County, UT, Morgan County, UT, Rich County, UT, Salt Lake County, UT, Summit County, UT, Wasatch County, UT, Sweetwater County, WY, Uinta County, WY","49009, 49013, 49029, 49033, 49035, 49043, 49051, 56037, 56041"
2804,"Sumner County, KS",20191,"Butler County, KS, Cowley County, KS, Harper County, KS, Kingman County, KS, Sedgwick County, KS, Sumner County, KS, Grant County, OK, Kay County, OK","20015, 20035, 20077, 20095, 20173, 20191, 40053, 40071"
2805,"Sumner County, TN",47165,"Allen County, KY, Simpson County, KY, Davidson County, TN, Macon County, TN, Robertson County, TN, Sumner County, TN, Trousdale County, TN, Wilson County, TN","21003, 21213, 47037, 47111, 47147, 47165, 47169, 47189"
2806,"Sumter County, AL",01119,"Choctaw County, AL, Greene County, AL, Marengo County, AL, Pickens County, AL, Sumter County, AL, Kemper County, MS, Lauderdale County, MS, Noxubee County, MS","01023, 01063, 01091, 01107, 01119, 28069, 28075, 28103"
2807,"Sumter County, FL",12119,"Citrus County, FL, Hernando County, FL, Lake County, FL, Marion County, FL, Pasco County, FL, Polk County, FL, Sumter County, FL","12017, 12053, 12069, 12083, 12101, 12105, 12119"
2808,"Sumter County, GA",13261,"Crisp County, GA, Dooly County, GA, Lee County, GA, Macon County, GA, Marion County, GA, Schley County, GA, Sumter County, GA, Terrell County, GA, Webster County, GA","13081, 13093, 13177, 13193, 13197, 13249, 13261, 13273, 13307"
2809,"Sumter County, SC",45085,"Calhoun County, SC, Clarendon County, SC, Florence County, SC, Kershaw County, SC, Lee County, SC, Richland County, SC, Sumter County, SC","45017, 45027, 45041, 45055, 45061, 45079, 45085"
2810,"Sunflower County, MS",28133,"Bolivar County, MS, Coahoma County, MS, Humphreys County, MS, Leflore County, MS, Sunflower County, MS, Tallahatchie County, MS, Washington County, MS","28011, 28027, 28053, 28083, 28133, 28135, 28151"
2811,"Surry County, NC",37171,"Alleghany County, NC, Forsyth County, NC, Stokes County, NC, Surry County, NC, Wilkes County, NC, Yadkin County, NC, Carroll County, VA, Grayson County, VA, Patrick County, VA","37005, 37067, 37169, 37171, 37193, 37197, 51035, 51077, 51141"
